Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,none
ILD NYC,18:30:00,Newjeans | Newjeans Part 2,Eunice Shin,none
ILD NYC,20:00:00,Crazy Form | Ateez Part 4,Fernando Farias,none
