Studio,Time,Classes,Instructor,Sign up,Date,Style
Peridance,11:30:00,Open Yoga,Marisa Martin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Peridance,11:30:00,Int Ballet,Bivi Kimura,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5916&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,11:30:00,Adv Pro Ballet,Bielski,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087003&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,11:30:00,Int Theater,Andrew Wilson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17650&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,11:45:00,Adv/Int Theater Jazz,Cornish (10),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087008&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,12:00:00,Basic Tap,Carminucci,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085582&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Gibney 280,12:00:00,Pro Ballez,Katy Pyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12592&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Gibney 280,12:00:00,Contemp Forms,Lily Gelfand,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12591&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,12:00:00,Adv Beg Ballet,June Chin (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17598&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Gibney 280,12:30:00,Zena Rommett Floor-Barre At 280,Jodi Moccia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12593&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,13:00:00,Adv Beg Tap,Gwen Potter,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17014&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Peridance,13:00:00,Adv Contemp,Max Stone,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,13:00:00,Int Contemp,Jaclyn Walsh,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17536&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,13:00:00,Beg Jazz,Heather Rigg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17668&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1153&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Peridance,13:00:00,Int Ballet,Cancelled Today,none,2023-08-24,Ballet
Peridance,13:00:00,Open Heels,Hector Invictus Lopez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5452&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,13:00:00,Adv Beg Jazz Funk,Miles Keeney,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17571&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Steps,13:15:00,Adv Theater Dance,Mattox (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086995&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,13:15:00,Int Classic Theater Jazz,Moore,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085543&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,13:30:00,Pilates Mat,Cummings,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085580&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Steps,13:30:00,Int Ballet,Hara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087004&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,13:30:00,All Levels Voice,Canceled Today,none,2023-08-24,Additional Disciplines
BDC,13:30:00,Basic Ballet,June Chin (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17600&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,13:45:00,Beg Tap,Carminucci,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085583&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Gibney 280,14:00:00,Melt Method At 280,Claudia Brown,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12595&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Gibney 280,14:00:00,Contemp Dynamic Sequencing,Cancelled Today,none,2023-08-24,Contemporary/Modern
Steps,14:15:00,Adv/Beg Tap,James (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085584&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
BDC,14:30:00,Beg Contemp,Blue,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17517&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Ballet Arts,14:30:00,Adv Int Ballet,François Perron,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2393&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Peridance,14:30:00,Int Choreo,Tomoko Ishikawa,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,14:30:00,Adv Beg Theater,Marjorie Failoni (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17677&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Peridance,14:30:00,Adv Contemp,Brice Mousset (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5523&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Steps,14:30:00,Int Comm Jazz,Gold,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087143&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
BDC,14:30:00,Int Tap,April Cook,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17686&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Steps,15:00:00,Adv/Beg Jazz,Ciulla,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087224&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
Steps,15:00:00,Adv/Int Jazz,Roshe,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087007&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
BDC,15:00:00,All Levels Pilates Fusion,Sam Paulik (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17764&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,15:00:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17688&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Brickhouse,15:00:00,Heels Int/Adv,Sabina Lundgren,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7718&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Steps,15:15:00,Adv/Int Contemp,Khamsingsavath (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087006&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Peridance,16:00:00,Open Ballet/Pointe,Dianna Warren,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
BDC,16:00:00,Int Street Jazz,Bo Park,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17745&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Peridance,16:00:00,Open House,Sekou Heru,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
BDC,16:00:00,Beg Tap,Katharine Pettit,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17762&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Ballet Arts,16:00:00,Contemp,Danita Shaheen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2424&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,16:15:00,Int Adv Theater Jazz,Chryssie Whitehead (10),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17583&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
BDC,16:15:00,Adv Beg Contemp Jazz,Elodie Dufroux (9),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17695&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,16:30:00,Int Jazz,Mike Baerga,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18144&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
PMT,16:30:00,Adv. Beg. Jazz,Michelle Barber,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3392&classDate=8/24/2023&clsLoc=1,2023-08-24,Jazz
BDC,16:30:00,Int Ballet,Luis Villar (11),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16646&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Steps,16:45:00,Adv/Int Contemp,McGowan (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085573&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
