Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826312&classDate=4/18/2024&clsLoc=1,ONLINE: Zumba,Diego Chauca,none,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826310&classDate=4/18/2024&clsLoc=1,ONLINE: West African,Bakary Fall (1),none,1 hour
