Studio,Start time,Classes,Link,Instructor
Gramercy Studios,7am,open level dance cardio ,unavailable, Sarah
Gramercy Studios,5:30pm,open level choreo ,unavailable, Helen
Gramercy Studios,7pm,intermediate heels ,unavailable, Lia
Gramercy Studios,8:30pm,open level reggaeton ,unavailable, Mota
