Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am EST,none,Open Body Maintenance Training,Roukijah “NutellaK” Rooks | GETFITNK,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,none,Adv Ballet,Artistic Director: Igal Perry,Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,none,Inter Contemporary,Jordan Ryder | RYDERDANCE,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,none,Open Simonson Jazz,Cancelled Today,none,none,1 hour &30 minutes
Peridance,11:30 am EST,none,Adv Contemporary,Elisabetta Minutoli,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Beg Ballet,Nikki Holck (1),Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Open Emergent Improvisation,Britta Joy Peterson (2),none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6728&classDate=11/27/2023&clsLoc=1,Open Yoga,Jana Hicks,none,Peridance Center,1 hour
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6729&classDate=11/27/2023&clsLoc=1,Adv Performance Groove,Kendrick Samuel,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=11/27/2023&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6766&classDate=11/27/2023&clsLoc=1,Inter Contemporary,Jana Hicks,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=11/27/2023&clsLoc=1,Open Pilates,Yuki Hasegawa,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6786&classDate=11/27/2023&clsLoc=1,Adv Contemporary,Mike Esperanza,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=11/27/2023&clsLoc=1,Beg Graham,Caterina Rago,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=11/27/2023&clsLoc=1,Open House,Ejoe Wilson,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=11/27/2023&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6763&classDate=11/27/2023&clsLoc=1,Inter Theater,Leslie Blake Walker (3),none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6852&classDate=11/27/2023&clsLoc=1,Adv Commercial Hip Hop,Joshua Johnson,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6831&classDate=11/27/2023&clsLoc=1,Inter Contemporary,Catie Leasca,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=11/27/2023&clsLoc=1,Adv Choreography,Bo Park,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6977&classDate=11/27/2023&clsLoc=1,Adv Contemporary,Tushrik Fredericks,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6657&classDate=11/27/2023&clsLoc=1,Beg Hip Hop,Hurrikane _,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6656&classDate=11/27/2023&clsLoc=1,Beg Salsa Partnering,Baila Society (4),none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=11/27/2023&clsLoc=1,Inter Afrobeats,Daayy Daayy (5),none,Peridance Center,1 hour &30 minutes
