Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3648&classDate=1/10/2024&clsLoc=1,Professional Level Taylor Modern,Alex Clayton (3),none,none,1 hour &30 minutes
Taylor School,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3596&classDate=1/10/2024&clsLoc=1,Adult Open Level Modern,Joao Carvalho,none,none,1 hour &30 minutes
