Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17735&classDate=8/13/2023&clsLoc=1,IN-PERSON: Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio 1,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17883&classDate=8/13/2023&clsLoc=1,IN-PERSON: Adv Beg STREET STYLES with Niki Saludez,Megz Alfonso (2),Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17807&classDate=8/13/2023&clsLoc=1,IN-PERSON: Int TAP with Kat Ponza,Kat Ponza,Studio B,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17739&classDate=8/13/2023&clsLoc=1,IN-PERSON: Beg JUMPS AND TURNS with Emily Bufferd,Emily Bufferd,Studio 1,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17856&classDate=8/13/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Robert Taylor Jr.,Robert Taylor Jr,Studio 3,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17817&classDate=8/13/2023&clsLoc=1,IN-PERSON: Int Adv THEATER with Karla Puno Garcia,Karla Puno Garcia,Studio 5,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17698&classDate=8/13/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Silken Kelly (5),Studio 1,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17665&classDate=8/13/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Doug Shankman,Danny Gardner (6),Studio B,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17627&classDate=8/13/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY FUSION with Camryn Brothers,Jenifer Dillow (7),Studio A,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,none,IN-PERSON: Basic BALLET with Benjamin Briones,Canceled Today,none,1 hour & 30 minutes
