Studio,Start time,Sign up,Classes,Instructor
Modega,3:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/KppomTxhM8v7mscWwiwu,Beginner Jersey Club,E Skilllz
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/B5Hxm72VAfyHsFIFB8ct,Adv. Beginner/Int.Choreography,Youran Lee
