Studio,Start time,,Classes,Teacher,Duration
ATDF,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2358&classDate=4/3/2024&clsLoc=1,Basic,Adante Power (1),1 hour &15 minutes
ATDF,6:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2357&classDate=4/3/2024&clsLoc=1,Intermediate,Barbara Duffy,1 hour &15 minutes
