Studio,Start time,Sign up,Classes,Teacher,Room,Duration
Ballet Arts,9:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2375&classDate=8/25/2023&clsLoc=1,IN-Studio: RISE & BALLET!,Joan Liu,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
Ballet Arts,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2282&classDate=8/25/2023&clsLoc=1,IN-Studio: 2-Hour INTERMEDIATE Ballet,Kenny Larson,Ballet Arts STUDIO LIVE!,2 hours
Ballet Arts,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1129&classDate=8/25/2023&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Simon Kazantsev,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
Ballet Arts,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=1134&classDate=8/25/2023&clsLoc=1,IN-Studio: ADVANCED BEGINNER Ballet,Noriko Hara,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
Ballet Arts,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=2356&classDate=8/25/2023&clsLoc=1,IN-Studio: POINTE CLASS (1 hour),Noriko Hara,Ballet Arts STUDIO LIVE!,1 hour
Ballet Arts,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2319&classDate=8/25/2023&clsLoc=1,IN-Studio: HIP-HOP LIVE!,Kaori Hiwasa,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
Ballet Arts,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2357&classDate=8/25/2023&clsLoc=1,IN-Studio: BEGINNER Ballet,Kenny Larson,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
