Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Basic Contemp,Lorena Cobos,none,2024-02-13,Contemporary/Modern
Steps,09:00:00,Int Ballet,Michelle Cave,none,2024-02-13,Ballet
BDC,09:00:00,Basic Theater,Melodye Redding,none,2024-02-13,Theater
Taylor School,09:00:00,Yoga,Erica Caruso,none,2024-02-13,Contemporary/Modern
BDC,09:00:00,Adv Beg Ballet,Luis Villar,none,2024-02-13,Ballet
BDC,09:15:00,All Levels Yoga And Meditation,Lauren Marsaglia,none,2024-02-13,Additional Disciplines
Peridance,09:30:00,Open Ballet,Kathy Sullivan,none,2024-02-13,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none,2024-02-13,Ballet
Mark Morris,10:00:00,Adv Ballet,Cancelled Today,none,2024-02-13,Ballet
Gibney,10:00:00,Countertechnique,Francesca Dominguez,none,2024-02-13,Additional Disciplines
Peridance,10:00:00,Adv Ballet,Elizabeth Ferrell,none,2024-02-13,Ballet
Gibney,10:00:00,Ballet,Cancelled Today,none,2024-02-13,Ballet
Steps,10:00:00,Adv Pro Ballet,Maxim Beloserkovsky,none,2024-02-13,Ballet
Peridance,10:00:00,Int Contemp Release,Wesley Ensminger,none,2024-02-13,Contemporary/Modern
Ailey,10:00:00,Beg Ballet,Cancelled Today,none,2024-02-13,Ballet
Taylor School,10:00:00,Professional Level Taylor Modern,Michelle Fleet (2),none,2024-02-13,Contemporary/Modern
Ballet Arts,10:00:00,Open Level Ballet,Yumiko Niimi,none,2024-02-13,Ballet
Steps,10:30:00,Rommett Floor Barre,Cancelled Today,none,2024-02-13,Ballet
BDC,10:30:00,Adv Beg Theater,Jason Wise,none,2024-02-13,Theater
BDC,10:30:00,Adv Beg Tap,Canceled Today,none,2024-02-13,Tap
BDC,10:30:00,Adv Beg Contemp,Canceled Today,none,2024-02-13,Contemporary/Modern
BDC,10:30:00,Beg Ballet,Canceled Today,none,2024-02-13,Ballet
BDC,10:45:00,All Levels Lastics Stretch Technique,Canceled Today,none,2024-02-13,Additional Disciplines
Steps,11:00:00,Adv/Beg Broadway Tap,Andrew Black,none,2024-02-13,Tap
Steps,11:00:00,Adv/Beg Ballet,Temple Kemezis,none,2024-02-13,Ballet
Peridance,11:00:00,Open Pointe,Kathy Sullivan,none,2024-02-13,Ballet
Peridance,11:30:00,Int Munz Barre,Bivi Kimura,none,2024-02-13,Ballet
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,none,2024-02-13,Ballet
Peridance,11:30:00,Beg Contemp,Bo Kyung Lee,none,2024-02-13,Contemporary/Modern
Peridance,11:30:00,Adv Contemp,Chris Ralph,none,2024-02-13,Contemporary/Modern
Steps,11:30:00,Adv/Beg Theater Jazz,Rachel Leigh Dolan,none,2024-02-13,Theater
Ballet Arts,11:30:00,Tap,Stephen Reed,none,2024-02-13,Tap
Steps,11:30:00,Adv Pro Ballet,Nancy Bielski,none,2024-02-13,Ballet
Steps,11:45:00,Adv/Int Jazz Fusion,Chris Jarosz (1),none,2024-02-13,Street/Choreography
Taylor School,12:00:00,Flock,Florian Lochner,none,2024-02-13,Contemporary/Modern
Gibney,12:00:00,Contemp Dynamic Sequencing,Adam Barruch,none,2024-02-13,Contemporary/Modern
Mark Morris,12:00:00,Beg Modern,Cancelled Today,none,2024-02-13,Contemporary/Modern
BDC,12:00:00,Adv Beg Ballet,Canceled Today,none,2024-02-13,Ballet
BDC,12:00:00,Beg Tap,Canceled Today,none,2024-02-13,Tap
Steps,12:00:00,Int Tap,Christina Carminucci,none,2024-02-13,Tap
BDC,12:00:00,Int Theater,Andrew Wilson,none,2024-02-13,Theater
BDC,12:00:00,Beg Broadway Jazz,Sue Samuels,none,2024-02-13,Theater
SassClass,12:00:00,Popstar Style,Mary,none,2024-02-13,Additional Disciplines
BDC,12:00:00,Beg House,Huu Rock,none,2024-02-13,Street/Choreography
SassClass,12:00:00,Sexy Stilettos,Brynlie,none,2024-02-13,Street/Choreography
Steps,12:30:00,Int Contemp,Elisabetta Minutoli,none,2024-02-13,Contemporary/Modern
Steps,12:45:00,Beg Broadway Tap,Andrew Black,none,2024-02-13,Tap
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva,none,2024-02-13,Ballet
Mark Morris,13:00:00,Open Level Move & Flow,Cancelled Today,none,2024-02-13,Additional Disciplines
Peridance,13:00:00,Open Stretch,Sarah Iguchi (1),none,2024-02-13,Additional Disciplines
Peridance,13:00:00,Int Ballet,Cancelled Today,none,2024-02-13,Ballet
Steps,13:00:00,Int Classic Theater Jazz,Dana Moore,none,2024-02-13,Theater
Peridance,13:00:00,Adv Choreo,Cancelled Today,none,2024-02-13,Street/Choreography
Peridance,13:00:00,Int Contemp,Max Stone,none,2024-02-13,Contemporary/Modern
Steps,13:15:00,Adv Theater Dance,Shannon Lewis,none,2024-02-13,Theater
BDC,13:30:00,Basic Ballet,Dorit Koppel,none,2024-02-13,Ballet
Steps,13:30:00,Int Ballet,Noriko Hara,none,2024-02-13,Ballet
Brickhouse,13:30:00,Contemp Fusion Int,Alexa Luke,none,2024-02-13,Contemporary/Modern
BDC,13:30:00,All Levels Acro,Sissa Strain,none,2024-02-13,Additional Disciplines
BDC,13:30:00,Beg Jazz,Canceled Today,none,2024-02-13,Jazz
BDC,13:30:00,Int Tap,Canceled Today,none,2024-02-13,Tap
ATDF,13:30:00,Adv Beg,Tony Waag,none,2024-02-13,Tap
ATDF,13:30:00,Basic,Cancelled Today,none,2024-02-13,Tap
BDC,13:30:00,Beg Hip-Hop,Ness Martinez,none,2024-02-13,Street/Choreography
Steps,14:00:00,Int Jazz Across The Floor,Cori Jo Swanson,none,2024-02-13,Jazz
Gibney,14:00:00,Movement Research At 280,Amelia Heintzelman,none,2024-02-13,Additional Disciplines
Gibney,14:00:00,Int/Adv Contemp/Simonson,Laurie DeVito,none,2024-02-13,Contemporary/Modern
Peridance,14:30:00,Beg Hip Hop Found | Moptop,Buddha Stretch,none,2024-02-13,Street/Choreography
Ballet Arts,14:30:00,Adv Int Ballet,François Perron,none,2024-02-13,Ballet
Steps,14:30:00,Int/Adv Ballet,Elisa Clark,none,2024-02-13,Ballet
Steps,14:30:00,Adv/Beg Tap,Alexander MacDonald,none,2024-02-13,Tap
Peridance,14:30:00,Beg Graham,Caterina Rago,none,2024-02-13,Contemporary/Modern
BDC,15:00:00,Beg Theater,Marjorie Failoni,none,2024-02-13,Theater
BDC,15:00:00,Int Adv Hip-Hop,Tay Gresham (1),none,2024-02-13,Street/Choreography
