Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4pm,Beginner Contemporary Fusion ,unavailable, Sara
Gramercy Studios,5:30pm,Intermediate Lyrical R&B ,unavailable, Hunter
Gramercy Studios,7pm,Intermediate Contemporary fusion ,unavailable, Brando
