Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EST,none,Contemporary Release with Wesley Ensminger at 280,Cancelled Today,none,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13005&classDate=12/14/2023&clsLoc=1,Contemporary with Baye & Asa at 280,Baye & Asa,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12810&classDate=12/14/2023&clsLoc=1,Super Chill Ballet with Doron Perk at 890,Doron Perk,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13009&classDate=12/14/2023&clsLoc=1,Ballet with Kevin Jay Shannon at 280,Kevin J. Shannon,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13008&classDate=12/14/2023&clsLoc=1,Contemporary: 2nd Best Dance Company at 280,Hannah Garner,Gibney 280: Studio Y,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12881&classDate=12/14/2023&clsLoc=1,Countertechnique with Francesca Dominguez at 280,Francesca Dominguez,Gibney 280: Studio X,1 hour &45 minutes
Gibney,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12847&classDate=12/14/2023&clsLoc=1,Zena Rommett Floor-Barre® at 280,Jodi Moccia,Gibney 280: Studio E,1 hour &30 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12977&classDate=12/14/2023&clsLoc=1,Pilates Mat Class for Dancers: Movement Research at 280,Kayla White,Gibney 280: Studio D,1 hour &15 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13034&classDate=12/14/2023&clsLoc=1,Modernish Technique with Brad Beakes at 280,Bradley Beakes,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12569&classDate=12/14/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
