Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EST,none,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio Y,1 hour &45 minutes
Gibney,12:00 pm EST,none,Contemporary with Maleek Washington at 280,Maleek Washington,Gibney 280: Studio Y,1 hour &45 minutes
Gibney,12:00 pm EST,none,Floorwork Basics with Dava Huesca at 280,Cancelled Today,none,1 hour &45 minutes
Gibney,12:00 pm EST,none,IN-PERSON: Simonson Holiday Class with Diane McCarthy at 280,Diane McCarthy,Gibney 280: Studio C,3 hours
Gibney,2:00 pm EST,none,The Playground with Elena Valls at 280,Elena Valls,Gibney 280: Studio Y,1 hour &45 minutes
