Studio,Start time,Classes,Instructor,Length
PJM LIC,12:30 pm,Open Kpop,Lesley,1 hr 30 min
PJM LIC,2:00 pm,Beg Street Jazz,Mini Zhang,1 hr 30 min
PJM LIC,3:30 pm,Intermediate House,NutellaK,1 hr 30 min
