Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,none,IN-PERSON: Adv Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Basic JAZZ with Heather Rigg,Heather Rigg,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Int Adv THEATER with Karla Puno Garcia,Karla Puno Garcia,Studio 1,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Beg JAZZ with Heather Rigg,Heather Rigg,Studio 2,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Int BALLET with Benjamin Briones,Deanna Doyle (1),Studio 1,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18702&classDate=12/17/2023&clsLoc=1,IN-PERSON: Basic BALLET with Deanna Doyle,Deanna Doyle,Studio 1,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18754&classDate=12/17/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Elodie Dufroux,Elodie Dufroux,Studio 2,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18756&classDate=12/17/2023&clsLoc=1,IN-PERSON: Basic HEELS with Courtney Sauls,Courtney Sauls,Studio 3,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18288&classDate=12/17/2023&clsLoc=1,IN-PERSON: Beg TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18253&classDate=12/17/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Gina Menichino,Gina Menichino,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18653&classDate=12/17/2023&clsLoc=1,IN-PERSON: Beg HEELS with Mishay Petronelli,Mishay Petronelli,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18775&classDate=12/17/2023&clsLoc=1,IN-PERSON: Int JAZZ with AC Ciulla,AC Ciulla,Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Adv Beg BROADWAY JAZZ with Sue Samuels,Canceled Today,none,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,none,IN-PERSON: Beg THEATER with Morgan Rose,Morgan Rose,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,none,IN-PERSON: Beg BROADWAY TAP with Deanna Doyle,Deanna Doyle,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Adv Beg TAP with Doug Shankman,Doug Shankman,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,none,IN-PERSON: Beg STREET JAZZ with Carlos Neto,Carlos Neto,Studio 3,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18839&classDate=12/17/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 3,1 hour &30 minutes
Broadway Dance Center,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18287&classDate=12/17/2023&clsLoc=1,IN-PERSON: Basic TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18861&classDate=12/17/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Eureka Nakano Grimes,Eureka Nakano Grimes,Studio A,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18830&classDate=12/17/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Q,Q,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18601&classDate=12/17/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Alex Mitchell,Lorena Cobos (2),Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18896&classDate=12/17/2023&clsLoc=1,IN-PERSON: All Levels TUTTING with Billy Cohen,Billy Cohen,Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18341&classDate=12/17/2023&clsLoc=1,IN-PERSON: Int Adv TAP with Dario Natarelli,Robbie Ryser (3),Studio B,1 hour &30 minutes
