Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,10:30 am EST,none,In-Studio Adv Ballet,Averty,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:00 am EST,none,In-Studio Adv/Int Ballet,"Goldman, N.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:30 am EST,none,In-Studio Beg Ballet,"Supan, L.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,none,In-Studio Int Ballet,Cave,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:30 pm EST,none,In-Studio Int Ballet,Gelinas,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:15 am EST,none,In-Studio Adv/Beg Contemporary,"Edward, C.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:15 pm EST,none,In-Studio Int Contemporary Jazz,Blandino,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,none,In-Studio Beg Jazz,Gerson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,none,In-Studio Int Jazz,Mathes,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:00 pm EST,none,In-Studio Adv/Beg Contemporary Modern,"Reed, B.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,none,In-Studio Beg Hip Hop,"Mitchell, A.",Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,none,In-Studio Open Level Yoga,Cancelled Today,Steps on Broadway,1 hour
Steps on Broadway,2:30 pm EST,none,In-Studio Basic Swing Dance,McDaniel,Steps on Broadway,1 hour
Steps on Broadway,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087819&classDate=12/17/2023&clsLoc=1,In-Studio Absolute Beginner Swing,McDaniel,Steps on Broadway,1 hour
Steps on Broadway,12:30 pm EST,none,In-Studio Adv/Beg Tap,Galganni,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:45 pm EST,none,In-Studio Beg Tap,Ponza,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085647&classDate=12/17/2023&clsLoc=1,In-Studio Int Broadway Tap,Brians,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:45 pm EST,none,In-Studio Int Theater Jazz,Resavy,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:00 pm EST,none,In-Studio Adv/Beg Theater Jazz,Biagini,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087305&classDate=12/17/2023&clsLoc=1,In-Studio Adv/Int Classic Theater Jazz,Moore,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088228&classDate=12/17/2023&clsLoc=1,In-Studio Beg Flamenco,Basava (1),Steps on Broadway,1 hour &30 minutes
