Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Killin' It | P1Harmony Part 2,Regina Lustre,none
ILD NJ,19:30:00,Super Lady | Gi-Dle Part 2,Ness Martinez,none
