Studio,Start time,,Classes,Teacher,Duration
Sass Class,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=869&classDate=3/5/2024&clsLoc=1,Popstar Style,Mary,1 hour
Sass Class,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=841&classDate=3/5/2024&clsLoc=1,Sexy Stilettos®,Brynlie,1 hour
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=878&classDate=3/5/2024&clsLoc=1,Fierce Feminine® Hip-Hop,Anya,1 hour
Sass Class,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=387&classDate=3/5/2024&clsLoc=1,Neo-Burlesque,Tony,1 hour
Sass Class,7:10 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=480&classDate=3/5/2024&clsLoc=1,Sass Foundations: Sexy Stilettos®,Madeline (3),1 hour
Sass Class,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=386&classDate=3/5/2024&clsLoc=1,Chairography™,Tony,1 hour
Sass Class,8:20 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=481&classDate=3/5/2024&clsLoc=1,Sexy Stilettos®,Anya (4),1 hour
Sass Class,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=854&classDate=3/5/2024&clsLoc=1,Sexy Stilettos®,Madeline,1 hour
