0,Start time,Sign up,Classes,Teacher,Room,Duration
1,10:00 am  EDT,/ASP/res_a.asp?tg=23&classId=2371&classDate=3/14/2023&clsLoc=1,IN-Studio: OPEN LEVEL BALLET,Yumiko Niimi,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
2,10:00 am  EDT,/ASP/res_a.asp?tg=22&classId=2206&classDate=3/14/2023&clsLoc=1,VIRTUAL: BARRE FITNESS,Mary Beth Hansohn,BALLET Arts - VIRTUAL STUDIO,1 hour
3,11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=2406&classDate=3/14/2023&clsLoc=1,VIRTUAL: TAP - Let's Begin!,Stephen Reed,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
4,1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2249&classDate=3/14/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Anna Fateeva,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
5,2:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=2392&classDate=3/14/2023&clsLoc=1,VIRTUAL: ADVANCED INTERMEDIATE Ballet,François Perron,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
6,4:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2274&classDate=3/14/2023&clsLoc=1,VIRTUAL: INTERMEDIATE Ballet,Kate Loh,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
7,5:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=2273&classDate=3/14/2023&clsLoc=1,VIRTUAL: THEATER DANCE REPERTORY Class,Stephen Reed,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
8,7:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=2348&classDate=3/14/2023&clsLoc=1,VIRTUAL: BEGINNER Ballet,Richard Marsden,BALLET Arts - VIRTUAL STUDIO,1 hour & 30 minutes
9,10:00 am  EDT,/ASP/res_a.asp?tg=22&classId=2373&classDate=3/14/2023&clsLoc=1,VIRTUAL: BALLET OPEN LEVEL,Yumiko Niimi,Ballet Arts Virtual - 2,1 hour & 30 minutes
10,11:30 am  EDT,/ASP/res_a.asp?tg=23&classId=2407&classDate=3/14/2023&clsLoc=1,IN-studio: TAP - Let's Begin!,Stephen Reed,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
11,1:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=1151&classDate=3/14/2023&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Anna Fateeva,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
12,2:30 pm  EDT,/ASP/res_a.asp?tg=23&classId=2395&classDate=3/14/2023&clsLoc=1,IN-Studio: ADVANCED INTERMEDIATE Ballet,François Perron,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
13,4:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=2275&classDate=3/14/2023&clsLoc=1,IN-Studio: INTERMEDIATE Ballet,Kate Loh,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
14,5:30 pm  EDT,/ASP/res_a.asp?tg=23&classId=2270&classDate=3/14/2023&clsLoc=1,IN-Studio: THEATER DANCE REPERTORY Live!,Stephen Reed,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
15,7:00 pm  EDT,/ASP/res_a.asp?tg=23&classId=1155&classDate=3/14/2023&clsLoc=1,IN-Studio: BEGINNER Ballet,Richard Marsden,Ballet Arts STUDIO LIVE!,1 hour & 30 minutes
