0,Start time,Sign up,Classes,Teacher,Room,Duration
1,5:00 pm  EDT,/ASP/res_a.asp?tg=38&classId=7487&classDate=3/14/2023&clsLoc=1,In-StudioNJ: Kids Kpop (7 - 8 years old),Min Seon Kim,none,1 hour
2,6:05 pm  EDT,/ASP/res_a.asp?tg=38&classId=7465&classDate=3/14/2023&clsLoc=1,In-StudioNJ: Devil By The Window | TXT (Part 2),Ness Martinez,Fort Lee Studio 1,1 hour & 20 minutes
3,7:30 pm  EDT,/ASP/res_a.asp?tg=38&classId=6586&classDate=3/14/2023&clsLoc=1,In-StudioNJ: Adv Beg Choreography,Alice Wu,Fort Lee Studio 1,1 hour & 20 minutes
