Studio,Start time,Classes,Link,Instructor
Gramercy Studios,5:30pm,beginner choreo ,unavailable, desi
Gramercy Studios,7PM,oPEN LEVEL HEELS ,unavailable, KIM
Gramercy Studios,8:30pm,intermediate heels ,unavailable, cesar
