Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4073&classDate=8/12/2023&clsLoc=1,Compas/Kompa Dance [All Levels],Julio Jean & Robenson Mathurin,4 hours
Cumbe Dance Center,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4132&classDate=8/12/2023&clsLoc=1,Sabar + Kutiro,Ousmane Sall,1 hour & 30 minutes
