Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,ONLINE: Beginner Ballet,Anna Lederfeind,none,1 hour &30 minutes
Ailey Studios,1:30 pm EST,none,ONLINE: Beginner Horton,Linda Celeste Sims,none,1 hour &30 minutes
Ailey Studios,11:00 am EST,none,ONLINE: Pilates Fusion,Olivia Bowman-Jackson,none,1 hour
