Studio,Start time,Classes,Instructor,Sign up
ILD Queens,18:00:00,Cake | Itzy Part 1,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8347&classDate=9/7/2023&clsLoc=1
ILD Queens,19:30:00,Fast Forward | Somi Part 1,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8359&classDate=9/7/2023&clsLoc=1
