Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=48&classId=21156&classDate=12/16/2024&clsLoc=1,LIVESTREAM: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,LS ST-A,1 hour &30 minutes
Broadway Dance Center,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=48&classId=21765&classDate=12/16/2024&clsLoc=1,LIVESTREAM: Basic CONTEMP JAZZ with Stacie Webster,Stacie Webster,LS ST-A,1 hour &30 minutes
