Studio,Start time,Sign up,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3563&classDate=10/12/2023&clsLoc=1,Professional Level Taylor Modern,Christina Lynch Markham (4),none,Tom Farrell,1 hour & 30 minutes
Taylor School,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3605&classDate=10/12/2023&clsLoc=1,Adult Open Ballet,Olivia Passarelli,none,none,1 hour & 30 minutes
