Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Mr. Vampire | Itzy Part 2,Maylin Ramos,none
ILD NJ,19:30:00,Smart | Le Sserafim Part 2,Min Seon Kim,none
