Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18539&classDate=1/6/2024&clsLoc=1,IN-PERSON: Basic BALLET with Jessica Epting,Jessica Epting,Studio A,1 hour &30 minutes
Broadway Dance Center,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18875&classDate=1/6/2024&clsLoc=1,IN-PERSON: Adv Beg COMMERCIAL JAZZ with Debbie Wilson,Debbie Wilson,Studio 1,1 hour &30 minutes
Broadway Dance Center,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18472&classDate=1/6/2024&clsLoc=1,IN-PERSON: Basic TAP with Oren Korenblum,Oren Korenblum,Studio B,1 hour &30 minutes
Broadway Dance Center,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18843&classDate=1/6/2024&clsLoc=1,IN-PERSON: Beg BALLET with Erica Ratkovicz,Erica Ratkovicz,Studio 1,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18334&classDate=1/6/2024&clsLoc=1,IN-PERSON: Beg TAP with Mark Albrecht,Mark Albrecht,Studio B,1 hour &30 minutes
Broadway Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18978&classDate=1/6/2024&clsLoc=1,IN-PERSON: All Levels POPPING ANIMATION with Big Mike,Big Mike,Studio 2,1 hour &30 minutes
Broadway Dance Center,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18925&classDate=1/6/2024&clsLoc=1,IN-PERSON: All Levels QUIST METHOD with Nicholas Palmquist,Nicholas Palmquist,Studio 1,1 hour &30 minutes
Broadway Dance Center,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18902&classDate=1/6/2024&clsLoc=1,IN-PERSON: Int STREET JAZZ with Ness Martinez,Ness Martinez,Studio 2,1 hour &30 minutes
Broadway Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18857&classDate=1/6/2024&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUSION with Michelle Barber,Daniel Booda (1),Studio 1,1 hour &30 minutes
Broadway Dance Center,3:30 pm EST,none,IN-PERSON: Int JAZZ FUSION with Michelle Barber,Canceled Today,none,1 hour &30 minutes
Broadway Dance Center,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18838&classDate=1/6/2024&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,Chio,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18832&classDate=1/6/2024&clsLoc=1,IN-PERSON: All Levels AFRO'DANCE with Angel Kaba,Angel Kaba,Studio A,1 hour &30 minutes
Broadway Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18829&classDate=1/6/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Q,Q,Studio 3,1 hour &30 minutes
Broadway Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18865&classDate=1/6/2024&clsLoc=1,IN-PERSON: Int THEATER with Matthew Steffens,Ross Thompson (2),Studio 1,1 hour &30 minutes
Broadway Dance Center,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18871&classDate=1/6/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Gina Menichino,Gina Menichino,Studio 3,1 hour &30 minutes
