Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824838&classDate=1/6/2024&clsLoc=1,IN-STUDIO Abs Beginner Ballet,Dawn Hillen,Studio 1C,1 hour
Ailey Studios,11:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824895&classDate=1/6/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1C,1 hour
Ailey Studios,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824862&classDate=1/6/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826563&classDate=1/6/2024&clsLoc=1,IN-STUDIO Open Contemporary,Levi Marsman,Studio 2B,1 hour &30 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825463&classDate=1/6/2024&clsLoc=1,IN-STUDIO Adv Beg NY Style Mambo,Katherine Jimenez,Studio 5B,1 hour &30 minutes
Ailey Studios,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826456&classDate=1/6/2024&clsLoc=1,IN-STUDIO Vogue Basics,José Lapaz-Rodriguez,Studio 1A,1 hour &30 minutes
Ailey Studios,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824881&classDate=1/6/2024&clsLoc=1,IN-STUDIO Masala Bhangra,Sarina Jain,Studio 1A,1 hour
Ailey Studios,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824867&classDate=1/6/2024&clsLoc=1,IN-STUDIO Beginner Horton,Cheryl Rowley-Gaskins,Studio 1C,1 hour &30 minutes
Ailey Studios,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824873&classDate=1/6/2024&clsLoc=1,IN-STUDIO Beginner Limón,Becky Brown,Studio 1A,1 hour &15 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825224&classDate=1/6/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 1B,1 hour &30 minutes
Ailey Studios,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824848&classDate=1/6/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 1C,1 hour &30 minutes
