Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13108&classDate=1/6/2024&clsLoc=1,Beginner Simonson with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio E,1 hour &30 minutes
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13073&classDate=1/6/2024&clsLoc=1,Gaga/people at 280,Annie Rigney,Gibney 280: Studio C,1 hour
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13102&classDate=1/6/2024&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour &30 minutes
Gibney,12:00 pm EST,none,Countertechnique with Maggie Costales at 280,Cancelled Today,none,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13091&classDate=1/6/2024&clsLoc=1,Embodiment through Dance Movement Therapy at 280,Dani Cole,Gibney 280: Studio D,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13103&classDate=1/6/2024&clsLoc=1,Pointe with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13109&classDate=1/6/2024&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio C,1 hour &45 minutes
