Studio,Start time,Sign up,Classes,Instructor
Modega,3:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/kq9eJ44xwzBMCE5a5S5w,Beginner Jersey Club,E Skilllz
Modega,5:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/rIM3hB2yhop40OAB8l9E,Int./Adv. Choreography,Andrew Ye
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/0viR8lrlnsR594JrbVZZ,Adv. Beginner/Int.Choreography,Jason Diaz
