Studio,Start time,Classes,Instructor,Sign up
PMT,15:00:00,Int Grooves And Execution,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3398&classDate=10/13/2023&clsLoc=1
PMT,16:30:00,Adv Choreo,John John Tarrayo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3399&classDate=10/13/2023&clsLoc=1
PMT,16:30:00,Drills And Freestyle,J Lyn Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=64&classId=3539&classDate=10/13/2023&clsLoc=1
PMT,18:00:00,Adv. Beg. Contemp,Mica Butnar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3401&classDate=10/13/2023&clsLoc=1
PMT,18:00:00,Basic/Beg Hip Hop,Pavan Thimmaiah,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3402&classDate=10/13/2023&clsLoc=1
PMT,19:30:00,Intro To Contemp,Mack Pereira,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3506&classDate=10/13/2023&clsLoc=1
PMT,19:35:00,Beg House,MK - (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3403&classDate=10/13/2023&clsLoc=1
