Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Grl Gvng | Xg Part 2,Regina Lustre,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8591&classDate=10/13/2023&clsLoc=1
ILD NJ,19:30:00,Baggy Jeans | Nct U Part 2,Fernando Farias,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8613&classDate=10/13/2023&clsLoc=1
