Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,New Dance | Xg Part 2,MJ Choi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8546&classDate=10/13/2023&clsLoc=1
ILD NYC,20:00:00,Baggy Jeans | Nct U Part 2,Ying Dong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8551&classDate=10/13/2023&clsLoc=1
ILD NYC,20:00:00,Do Not Touch | Misamo Part 2,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8577&classDate=10/13/2023&clsLoc=1
