Studio,Start time,Sign up,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6672&classDate=9/14/2023&clsLoc=1,Open Ballet,Kathy Sullivan,none,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=9/14/2023&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Raisa Umanskaya,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6744&classDate=9/14/2023&clsLoc=1,Inter Movement Fundamentals,Assaf Salhov,none,none,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6743&classDate=9/14/2023&clsLoc=1,Open Dance Theater,Anabella Lenzu,none,Peridance Center,1 hour & 30 minutes
Peridance,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6673&classDate=9/14/2023&clsLoc=1,Open Pointe,Kathy Sullivan,none,Peridance Center,30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5526&classDate=9/14/2023&clsLoc=1,Adv Contemporary,Chris Ralph,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6722&classDate=9/14/2023&clsLoc=1,Beg Ballet,Martha Chapman,Annie Lebeaux,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6745&classDate=9/14/2023&clsLoc=1,Inter Graham,Caterina Rago,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=9/14/2023&clsLoc=1,Open Yoga,Sarah Iguchi (1),none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=9/14/2023&clsLoc=1,Adv Contemporary,Max Stone,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6186&classDate=9/14/2023&clsLoc=1,Inter Ballet,Kate Loh,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5452&classDate=9/14/2023&clsLoc=1,Open Heels,Hector Invictus Lopez,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=6810&classDate=9/14/2023&clsLoc=1,Adv Contemporary | GUEST CLASS,Julia Ehrstrand,none,none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=9/14/2023&clsLoc=1,Inter Choreography,Tomoko Ishikawa,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6814&classDate=9/14/2023&clsLoc=1,Open Hip Hop | MOPTOP,Link _,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6746&classDate=9/14/2023&clsLoc=1,Open Pilates,Yuki Hasegawa,none,Peridance Center,1 hour
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=9/14/2023&clsLoc=1,Open Ballet/Pointe,Dianna Warren,none,Peridance Center,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=9/14/2023&clsLoc=1,Open House,Sekou Heru,none,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=9/14/2023&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6813&classDate=9/14/2023&clsLoc=1,Inter Hip Hop,"Tomoe ""Beasty"" Carr",none,none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5396&classDate=9/14/2023&clsLoc=1,Adv Choreography,Eric Delgado (2),none,Peridance Center,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6762&classDate=9/14/2023&clsLoc=1,Beg Ballet,Greg Zane,none,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6691&classDate=9/14/2023&clsLoc=1,Beg Contemporary Jazz,Leslie Blake Walker (3),none,Peridance Center,1 hour & 30 minutes
Peridance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6811&classDate=9/14/2023&clsLoc=1,Open House,Brooklyn Terry,none,Peridance Center,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6749&classDate=9/14/2023&clsLoc=1,Adv Contemporary,Tushrik Fredericks,none,Peridance Center,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6748&classDate=9/14/2023&clsLoc=1,Inter Hip Hop,Dr. Ew,none,Peridance Center,1 hour & 30 minutes
