Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Love 119 | Riize Part 2,Regina Lustre,none
ILD NJ,19:30:00,Nobody Knows | Kiss Of Life Part 2,Maylin Ramos,none
