Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4pm,Open Level burlesque ,unavailable, abby
Gramercy Studios,5:30pm,open level choreo ,unavailable, Helen
Gramercy Studios,7pm,open level heels ,unavailable, kim
Gramercy Studios,8:30pm,open level choreo ,unavailable, shmulik
