Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826759&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 5D,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826357&classDate=5/2/2024&clsLoc=1,IN-STUDIO Pilates Fusion,Diarra Cummings,Studio 2A,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826316&classDate=5/2/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Yancy Greene,Studio 1A,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826349&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 5A,1 hour
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826335&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Heels,Courtney Sauls,Studio LLC,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826344&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Horton,Maria Carla Spagna (3),Studio 2B,1 hour &30 minutes
Ailey Studios,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826599&classDate=5/2/2024&clsLoc=1,IN-STUDIO Adv Beg Vogue Fem,Luz Theodyssey,Studio 5D,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826327&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826361&classDate=5/2/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826329&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Broadway Dance,Nathan Fister (1),Studio 6C,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826331&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Martell Ruffin (2),Studio LLA,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826340&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146827480&classDate=5/2/2024&clsLoc=1,IN-STUDIO Beginner Jazz,Aaron Thomas (4),Studio 2A,1 hour &30 minutes
Ailey Studios,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146827447&classDate=5/2/2024&clsLoc=1,IN-STUDIO Sabar,Bakary Fall,Studio 5A,1 hour
