Studio,Start time,,Classes,Teacher,Duration
Sass Class,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=840&classDate=5/2/2024&clsLoc=1,Sass Foundations: Sexy Stilettos®,Iryna,1 hour
Sass Class,6:10 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=847&classDate=5/2/2024&clsLoc=1,Sass Foundations: Fierce Feminine® Hip-Hop,Sophia (8),1 hour
Sass Class,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=835&classDate=5/2/2024&clsLoc=1,Fierce Feminine® Hip-Hop,Sophia (9),1 hour
Sass Class,7:20 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=834&classDate=5/2/2024&clsLoc=1,Sexy Stilettos®,Revati,1 hour
Sass Class,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=838&classDate=5/2/2024&clsLoc=1,Femme Bollywood,Revati,1 hour
Sass Class,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=450&classDate=5/2/2024&clsLoc=1,Sass Advanced: Sexy Stilettos®,Sophia (12),1 hour
