Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EDT,none,Open Ballet,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=5/2/2024&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Raisa Umanskaya,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=7182&classDate=5/2/2024&clsLoc=1,Inter Graham,Caterina Rago,none,none,none,1 hour &30 minutes
Peridance,11:00 am EDT,none,Open Pointe,Cancelled Today,none,none,none,30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=7255&classDate=5/2/2024&clsLoc=1,Adv Contemporary | GUEST CLASS,Nicole von Arx,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6722&classDate=5/2/2024&clsLoc=1,Beg Ballet,Roya Carreras (1),Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=5/2/2024&clsLoc=1,Open Yoga,Marisa Martin,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6186&classDate=5/2/2024&clsLoc=1,Inter Ballet,Kate Loh,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7354&classDate=5/2/2024&clsLoc=1,Inter/Adv Contemporary,Max Stone,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6787&classDate=5/2/2024&clsLoc=1,Adv Contemporary,Mike Esperanza,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=5/2/2024&clsLoc=1,Inter Choreography,Tomoko Ishikawa,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7080&classDate=5/2/2024&clsLoc=1,Inter Contemporary,Assaf Salhov,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7421&classDate=5/2/2024&clsLoc=1,Open Hip Hop | MOPTOP,"Tomoe ""Beasty"" Carr",none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=5/2/2024&clsLoc=1,Open Ballet/Pointe,Dianna Warren,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=5/2/2024&clsLoc=1,Open House,Sekou Heru,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=5/2/2024&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6813&classDate=5/2/2024&clsLoc=1,Inter Hip Hop,"Tomoe ""Beasty"" Carr",none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7319&classDate=5/2/2024&clsLoc=1,Beg Foundations of Choreography,Masumi Kambayashi,none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6830&classDate=5/2/2024&clsLoc=1,Inter Ballet,Greg Zane,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6691&classDate=5/2/2024&clsLoc=1,Beg Contemporary Jazz,Jeffrey Gugliotti,none,none,none,1 hour &30 minutes
Peridance,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7114&classDate=5/2/2024&clsLoc=1,Beg House,Miyabi Wright (2),none,none,none,1 hour &30 minutes
Peridance,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6748&classDate=5/2/2024&clsLoc=1,Inter Hip Hop,Dr. Ew,none,none,none,1 hour &30 minutes
Peridance,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6719&classDate=5/2/2024&clsLoc=1,Open Old Way Vogue,Archie Burnett,none,none,none,1 hour &30 minutes
