Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,9:00 am EDT,none,Slow Flow Vinyasa Yoga,Erica Caruso,none,none,1 hour
Taylor School,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3649&classDate=5/2/2024&clsLoc=1,Professional Level Taylor Modern,Jake Vincent (4),none,Nezih Antakli,1 hour &30 minutes
Taylor School,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=33&classId=3763&classDate=5/2/2024&clsLoc=1,Dancing as Feeling & Creating Worlds,Kayla Farrish,none,none,1 hour &45 minutes
Taylor School,6:00 pm EDT,none,Modern Fundamentals,Cancelled Today,none,none,1 hour &30 minutes
