Studio,Start time,Sign up,Classes,Teacher,Duration
Cumbe Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4060&classDate=9/24/2023&clsLoc=1,Dunham Jazz Informed Technique [All Levels],Candice Michelle Franklin,1 hour & 30 minutes
Cumbe Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4122&classDate=9/24/2023&clsLoc=1,Belly Dancing [All Levels],Jaida,1 hour & 30 minutes
Cumbe Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=72&classId=4015&classDate=9/24/2023&clsLoc=1,West African Guinean Dance [Beg Level],Darian Parker,1 hour & 30 minutes
