Studio,Time,Classes,Instructor,Sign up,Date,Style
Peridance,09:00:00,Open Yoga,Sarah Iguchi,none,2024-04-03,Additional Disciplines
Steps,09:00:00,Open Yoga For Dancers,Hannah Dober,none,2024-04-03,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Julia Dubno,none,2024-04-03,Ballet
BDC,09:00:00,Beg Ballet,Eureka Nakano Grimes,none,2024-04-03,Ballet
Steps,09:00:00,Beg Ballet,Kathy Sullivan,none,2024-04-03,Ballet
BDC,09:00:00,Beg Lyrical,Emily Bufferd,none,2024-04-03,Contemporary/Modern
Peridance,09:30:00,Open Ballet,Greg Zane,none,2024-04-03,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2024-04-03,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none,2024-04-03,Ballet
Peridance,10:00:00,Adv Ballet,Lissetth Aguilar Stöckli (1),none,2024-04-03,Ballet
Gibney,10:00:00,Contemp Floorwork,Laja Field,none,2024-04-03,Contemporary/Modern
Gibney,10:00:00,Pro Ballez,Katy Pyle,none,2024-04-03,Ballet
Peridance,10:00:00,Int Contemp,Brandon Coleman,none,2024-04-03,Contemporary/Modern
Steps,10:00:00,Adv/Beg Tap,Kat Ponza,none,2024-04-03,Tap
Taylor School,10:00:00,Professional Level Taylor Modern,John Harnage (3),none,2024-04-03,Contemporary/Modern
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,none,2024-04-03,Ballet
Steps,10:00:00,Adv/Int Ballet,Kate Loh,none,2024-04-03,Ballet
BAE,10:00:00,Beg Ballet,Julie Voshell,none,2024-04-03,Ballet
Steps,10:00:00,Open Pilates,Lauren Marsaglia (4),none,2024-04-03,Additional Disciplines
Peridance,10:00:00,Open Barre À Terre,Anabella Lenzu,none,2024-04-03,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Jennifer Goggans *Cunningham  (7),none,2024-04-03,Contemporary/Modern
BAE,10:30:00,Intro To Ballet,Shirley Bassat,none,2024-04-03,Ballet
BDC,10:30:00,Adv Beg Hip-Hop,Paolo Slice Penala,none,2024-04-03,Street/Choreography
