Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13206&classDate=3/29/2024&clsLoc=1,Ballet with Nina Goldman at 890,Nina Goldman,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12883&classDate=3/29/2024&clsLoc=1,Contemporary with Thryn Saxon/SAXYN Dance Works at 280,Thryn Saxon,Gibney 280: Studio X,1 hour &45 minutes
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13071&classDate=3/29/2024&clsLoc=1,Gaga/people at 280,Ben Green,Gibney 280: Studio C,1 hour
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=13144&classDate=3/29/2024&clsLoc=1,Klein Technique Dance/Movement Class at 280,Barbara Mahler,Gibney 280: Studio B,2 hours
Gibney,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13031&classDate=3/29/2024&clsLoc=1,Contemporary/Modern with Oliver Steele at 280,Oliver Steele,Gibney 280: Studio C,1 hour &45 minutes
Gibney,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13146&classDate=3/29/2024&clsLoc=1,MELT Method at 280,Claudia Brown,Gibney 280: Studio C,1 hour &30 minutes
