Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,9:00 am EDT,none,Dance Cardio & Conditioning,Maggie Fiske,none,none,1 hour
Taylor School,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3650&classDate=3/29/2024&clsLoc=1,Master Class Series,Kayla Farrish (5),none,Mal Stein,1 hour &30 minutes
