Studio,Start time,Sign up,Classes,Teacher,Duration
Hive Dance NJ,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2206&classDate=8/17/2023&clsLoc=1,Beginner Hip-hop (Adults 17+),Edson Maldonado (2),1 hour & 15 minutes
Hive Dance NJ,8:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2207&classDate=8/17/2023&clsLoc=1,Beginner Hip-hop (Adults 17+),Mark Salud (3),1 hour & 15 minutes
