Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,"6:00 pm  EDT
    LIVE STREAM",none,Online: Killin Me Good | JIHYO (Part 3),Cancelled Today,none,1 hour & 20 minutes
ILoveDance,"7:30 pm  EDT
    LIVE STREAM",none,Online: Fast Forward | SOMI (Part 3),Cancelled Today,none,1 hour & 20 minutes
