Studio,Time,Classes,Instructor,Sign up,Date,Style
BAE,08:00:00,Mat Pilates Class,Phoebe Higgins,none,2023-11-27,Additional Disciplines
BAE,09:00:00,Adv Beg Ballet,Julia Dubno,none,2023-11-27,Ballet
BDC,09:00:00,Adv Beg Contemp Jazz,Ashley Lynne King,none,2023-11-27,Contemporary/Modern
Mark Morris,09:00:00,Gyrokinesis,Alexandra *Berger,none,2023-11-27,Additional Disciplines
Mark Morris,09:00:00,Gaga/People,Jim Grevatt *GAGA  (1),none,2023-11-27,Contemporary/Modern
Steps,09:00:00,Beg Ballet,Sullivan,none,2023-11-27,Ballet
BDC,09:00:00,Basic Hip-Hop,Spex (1),none,2023-11-27,Street/Choreography
Steps,09:15:00,Gyrokinesis,Thiesing,none,2023-11-27,Additional Disciplines
BDC,09:15:00,All Levels Yoga And Meditation,Alyssa Click (2),none,2023-11-27,Additional Disciplines
Peridance,09:30:00,Open Body Maintenance Training,Roukijah “NutellaK” Rooks,none,2023-11-27,Additional Disciplines
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2023-11-27,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Fairchild (1),none,2023-11-27,Ballet
BAE,10:00:00,Intro To Ballet,William Waldinger,none,2023-11-27,Ballet
Peridance,10:00:00,Adv Ballet,Igal Perry,none,2023-11-27,Ballet
Taylor School,10:00:00,Professional Level Taylor Modern,Richard Chen See (1),none,2023-11-27,Contemporary/Modern
Peridance,10:00:00,Open Simonson Jazz,Cancelled Today,none,2023-11-27,Jazz
Steps,10:00:00,Adv/Int Ballet,Loh (2),none,2023-11-27,Ballet
Steps,10:00:00,Ballet Workout,Stephan,none,2023-11-27,Ballet
Peridance,10:00:00,Int Contemp,Jordan Ryder,none,2023-11-27,Contemporary/Modern
Gibney,10:00:00,Contemp,Brandon Coleman,none,2023-11-27,Contemporary/Modern
Gibney,10:00:00,Contemp 2Nd Best Dance Company At 280,Hannah Garner,none,2023-11-27,Contemporary/Modern
Gibney,10:00:00,Adv Ballet,Elisa Clark,none,2023-11-27,Ballet
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,none,2023-11-27,Ballet
Mark Morris,10:15:00,Cunningham Technique Open Class,Alan Good *Cunningham  (2),none,2023-11-27,Contemporary/Modern
BDC,10:30:00,Int Contemp,Blue,none,2023-11-27,Contemporary/Modern
BDC,10:30:00,Basic Theater,Morgan Rose,none,2023-11-27,Theater
BDC,10:30:00,Beg Ballet,Michele Moreno,none,2023-11-27,Ballet
BDC,10:30:00,Beg Hip-Hop,Paolo Slice Penala,none,2023-11-27,Street/Choreography
BAE,10:30:00,Beg Ballet,Shirley Bassat,none,2023-11-27,Ballet
Steps,10:45:00,Adv/Beg Ballet,Sullivan,none,2023-11-27,Ballet
Ballet Arts,11:00:00,2-Hour Int Ballet,Kenny Larson,none,2023-11-27,Ballet
BDC,11:00:00,All Levels Pilates,Canceled Today,none,2023-11-27,Additional Disciplines
BAE,11:00:00,Mat Pilates Class,Vanessa Martínez de Baños,none,2023-11-27,Additional Disciplines
Steps,11:15:00,Adv/Beg Jazz,Pollin,none,2023-11-27,Jazz
Peridance,11:30:00,Open Emergent Improvisation,Britta Joy Peterson (2),none,2023-11-27,Additional Disciplines
Peridance,11:30:00,Adv Contemp,Elisabetta Minutoli,none,2023-11-27,Contemporary/Modern
Steps,11:30:00,Adv Pro Ballet,Bielski,none,2023-11-27,Ballet
Peridance,11:30:00,Beg Ballet,Nikki Holck (1),none,2023-11-27,Ballet
BAE,11:30:00,Adv Beg Ballet,Julie Voshell,none,2023-11-27,Ballet
Steps,11:45:00,Int/Adv Contemp,Stone,none,2023-11-27,Contemporary/Modern
Peridance,12:00:00,Open Yoga,Jana Hicks,none,2023-11-27,Additional Disciplines
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none,2023-11-27,Ballet
BAE,12:00:00,Basic Beg Ballet,Shirley Bassat,none,2023-11-27,Ballet
