Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=9/5/2023&clsLoc=1
ILD NYC,19:00:00,Fast Forward | Somi Part 1,Cancelled Today,none
ILD NYC,19:40:00,Killin Me Good | Jihyo Part 1,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8420&classDate=9/5/2023&clsLoc=1
