BAE,09:00:00,Adv Beg Ballet,Julia Dubno,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8391&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Steps,09:00:00,Beg Ballet,Kathy Sullivan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080412&classDate=12/16/2024&clsLoc=1,12/16,Ballet
BDC,09:00:00,Int Ballet,Rose Alice,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21802&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3447&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Gibney,09:30:00,Ballet,Brian Lawson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13707&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2288&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087058&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Mark Morris,10:00:00,Adv Ballet,Kelly *Slough,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5931&classDate=12/16/2024&clsLoc=1,12/16,Ballet
BAE,10:00:00,Intro To Ballet,William Waldinger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8363&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Steps,10:00:00,Rommett Floor Barre,Jodi Moccia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088558&classDate=12/16/2024&clsLoc=1,12/16,Ballet
Peridance,10:00:00,Adv Ballet,Nick Korkos (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7716&classDate=12/16/2024&clsLoc=1,12/16,Ballet
