Mark Morris,09:00:00,Gaga/People,Gaga *Faculty,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4953&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,09:00:00,Adv Beg Contemp Jazz,Ashley Lynne King,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21114&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Gibney,10:00:00,Contemp 2Nd Best Dance Company At 280,Hannah Garner,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12875&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Taylor School,10:00:00,Pro. Taylor Modern @ 307 W. 38Th Street,Orion Duckstein,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=3928&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Mark Morris,10:15:00,Cunningham Technique Open Class,Janet Charleston *Cunningham (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,10:30:00,Int Contemp Fusion,Maleek Washington,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21671&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,11:30:00,Int Contemp,Cancelled Today,none,12/16,Contemporary/Modern
Mark Morris,12:00:00,Beg Modern,Nicole *Philippidis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5631&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Gibney,12:00:00,Contemp,Brandon Coleman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13462&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21148&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,12:15:00,Basic Graham Technique,Tomislav Nevistic,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21293&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,13:00:00,Adv Contemp,Elisabetta Minutoli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7854&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Steps,13:30:00,Int/Adv Contemp,Max Stone,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147089124&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,14:00:00,Int Contemp,Jaclyn Walsh,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21166&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Gibney,14:00:00,Adv Contemp Floorwork,Isaac Martin Lerner,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13497&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,14:30:00,Beg Graham,Caterina Rago,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,14:30:00,Adv Contemp,Gabe Katz (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8007&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,14:30:00,Beg Breakdance Techniques For Contemp Dancers,Babatunji Johnson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=8303&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Steps,14:30:00,Beg/Int Graham Based Modern,Lindsay Poulis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147091237&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,15:30:00,Beg Contemp,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21178&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Peridance,17:30:00,Int Contemp,Emily Greenwell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7808&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,17:30:00,Adv Beg Contemp,Blue,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21195&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Ailey,19:00:00,Adv Beg Contemp,Michael Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146829887&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Ailey,19:00:00,Adv Beg Horton,Michael Snipe,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146829857&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
SassClass,19:05:00,Empowered Expression,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=1018&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,19:15:00,Basic Contemp Jazz,Stacie Webster,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21764&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
Steps,20:00:00,Int/Adv Contemp Street Styles,Clear Talent Group,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=2147091593&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
SassClass,20:15:00,Empowered Expression,Brynlie,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=1019&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,20:45:00,Int Contemp Fusion,Camryn Brothers,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21219&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
BDC,20:45:00,Adv Contemp,Marinda Davis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21947&classDate=12/16/2024&clsLoc=1,12/16,Contemporary/Modern
