Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8799&classDate=1/25/2024&clsLoc=1,In-StudioNJ: Kpop Diet Dance,Regina Lustre,Fort Lee Studio 1,1 hour
ILoveDance,4:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8600&classDate=1/25/2024&clsLoc=1,In-StudioNJ: Kids Kpop (9 - 12 years old),Maylin Ramos,Fort Lee Studio 1,1 hour
ILoveDance,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=9009&classDate=1/25/2024&clsLoc=1,In-StudioNJ: MANIAC | VIVIZ (Part 3),Maylin Ramos,Fort Lee Studio 1,1 hour &20 minutes
ILoveDance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8436&classDate=1/25/2024&clsLoc=1,In-StudioNJ: Adv Beg Choreography,Alice Wu,Fort Lee Studio 1,1 hour &20 minutes
