Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,12:00 pm  EDT,none,IN-PERSON: Basic BALLET with Jessica Epting,Jessica Epting,Studio A,1 hour & 30 minutes
Broadway Dance Center,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18128&classDate=10/14/2023&clsLoc=1,IN-PERSON: Int JAZZ FUSION with Michelle Barber,Michelle Barber,Studio 5,1 hour & 30 minutes
Broadway Dance Center,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18163&classDate=10/14/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ FUNK with Chio,J Lyn Thomas (1),Studio 5,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18389&classDate=10/14/2023&clsLoc=1,IN-PERSON: All Levels AFRO'DANCE with Angel Kaba,Angel Kaba,Studio 3,1 hour & 30 minutes
Broadway Dance Center,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18188&classDate=10/14/2023&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Q,Q,Studio 5,1 hour & 30 minutes
Broadway Dance Center,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18460&classDate=10/14/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY FUSION with Dexter Da Rocha,Dexter Da Rocha,Studio 4,1 hour & 30 minutes
Broadway Dance Center,2:00 pm  EDT,none,IN-PERSON: Adv Beg JAZZ FUSION with Michelle Barber,Michelle Barber,Studio 5,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18473&classDate=10/14/2023&clsLoc=1,IN-PERSON: Basic TAP with Yuka Kameda,Yuka Kameda,Studio B,1 hour & 30 minutes
Broadway Dance Center,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18214&classDate=10/14/2023&clsLoc=1,IN-PERSON: Beg BALLET with Erica Ratkovicz,Erica Ratkovicz,Studio 4,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18334&classDate=10/14/2023&clsLoc=1,IN-PERSON: Beg TAP with Mark Albrecht,Mark Albrecht,Studio B,1 hour & 30 minutes
Broadway Dance Center,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18291&classDate=10/14/2023&clsLoc=1,IN-PERSON: Int THEATER with Matthew Steffens,Matthew Steffens,Studio 4,1 hour & 30 minutes
Broadway Dance Center,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18310&classDate=10/14/2023&clsLoc=1,IN-PERSON: Int STREET JAZZ with Ness Martinez,Ness Martinez,Studio 5,1 hour & 30 minutes
