Studio,Start time,Sign up,Classes,Teacher,Room,Duration
ILoveDance,12:30 pm  EDT,none,In-StudioQ: Baggy Jeans | NCT U (Part 2),Cancelled Today,none,1 hour & 20 minutes
ILoveDance,2:00 pm  EDT,none,In-StudioQ: Do Not Touch | MISAMO (Part 2),Cancelled Today,none,1 hour & 20 minutes
