Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am  EDT,none,Pilates Flow,Joy-Marie *Thomspon (11),none,none,1 hour
Mark Morris Dance,10:00 am  EDT,none,Beginner Ballet,Cara Surico (Mask Optional),none,Patrick *Gallagher,1 hour & 30 minutes
Mark Morris Dance,12:15 pm  EDT,none,Beginner Contemporary,Andrea *Murillo (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=128&classId=5550&classDate=10/14/2023&clsLoc=1,Afro-Caribbean Dance & Movement,Patricia Hall (Masks Optional),none,none,2 hours
