Brickhouse,5:00pm,Pop Up,Madina Basquiat,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7884&classDate=8/12/2023&clsLoc=1
Brickhouse,6:30pm,Pop Up,Brandon Trent,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7887&classDate=8/12/2023&clsLoc=1
Brickhouse,8:00pm,Adv. Choreo,Sir Gregg,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7873&classDate=8/12/2023&clsLoc=1
PJM LIC,3:30pm,Vogue Femme Basics,Saki,none
PJM LIC,5:00pm,Adv Beg Choreo,Rose Lu,none
Peridance,12:00pm,Beg House,Huu Rock,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6213&classDate=8/12/2023&clsLoc=1
Peridance,3:00pm,Open Locking,Ebenezer Ackon (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5411&classDate=8/12/2023&clsLoc=1
Peridance,4:30pm,Open New Style Hustle,Jeff Selby,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5425&classDate=8/12/2023&clsLoc=1
Sass Class,11:30am,Sultry Street Jazz,Sofia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=737&classDate=8/12/2023&clsLoc=1
Sass Class,11:35am,Sexy Stilettos,Kiersten,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=727&classDate=8/12/2023&clsLoc=1
Sass Class,12:45pm,Sexy Stilettos,Kiersten,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=721&classDate=8/12/2023&clsLoc=1
Sass Class,2:00pm,Chairography,Tony,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=615&classDate=8/12/2023&clsLoc=1
Modega,2:30PM,All Levels Popping,Castro,https://sutrapro.com/modega/checkout/83iALo03DijUVpXPl4ur
Modega,6:00PM,All Levels Vogue Femme,Saki,https://sutrapro.com/modega/checkout/bop88vCpgn5c5UOHFQkN
PMT House of Dance,1:00pm,Adv. Beg. Hip Hop,Mini Zhang,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3507&classDate=8/12/2023&clsLoc=1
PMT House of Dance,1:00pm,Basic Hip Hop,Andy Needham,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3503&classDate=8/12/2023&clsLoc=1
PMT House of Dance,2:30pm,Open Popping,Big Mike,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3407&classDate=8/12/2023&clsLoc=1
PMT House of Dance,4:10pm,Adv. Beg. Breaking,Bboy Cuong,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3410&classDate=8/12/2023&clsLoc=1
PMT House of Dance,4:10pm,Adv. Beg. Choreo,Kenneth Herrera,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3498&classDate=8/12/2023&clsLoc=1
PMT House of Dance,5:40pm,Open Heels,Sophia Marrapodi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3411&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,11:30am,Adv Beg Hip-Hop,Robert Taylor Jr,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17855&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,1:00pm,Beg Street Jazz,Elodie Dufroux,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17993&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,2:30pm,Adv Beg Jazz Funk,Chio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17742&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,4:15pm,Adv Beg Hip-Hop,Q,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17752&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,7:15pm,Beg Hip-Hop,Paolo Slice Penala,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17514&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,10:00am,Beg Hip-Hop,Geheny Rivera (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17794&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,11:30am,Adv Beg Jazz Fusion,Cristal López Rivera (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17788&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,1:00pm,All Levels Jazz Funk,Blake McGrath,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=18153&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,1:00pm,Int Jazz Fusion,Canceled Today,none
Broadway Dance Center,2:30pm,Basic Heels,Courtney Sauls,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17624&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,5:45pm,All Levels Tutting,Billy Cohen (12),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17801&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,5:45pm,Int Adv Hip-Hop,David Thomas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17586&classDate=8/12/2023&clsLoc=1
Broadway Dance Center,7:15pm,Int Adv Hip-Hop,TBA (13),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17680&classDate=8/12/2023&clsLoc=1
Ailey Studios,2:30pm,Beg Hip-Hop,Jonathan Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823678&classDate=8/12/2023&clsLoc=1
Gramercy Studios,11:30am,Open Level Hip Hop Aerobics,Davon,unavailable
Gramercy Studios,2:00pm,Beg New Style Hustle,Kenji,unavailable
Gramercy Studios,7PM,Int/Adv Hip Hop,ANGEL,unavailable
