Studio,Start time,Classes,Link,Instructor
Gramercy Studios,5:30pm,intermediate lyrical r&b ,unavailable, hunter
Gramercy Studios,7pm,open level choreography ,unavailable, Paul Herman
Gramercy Studios,8:30pm,intermediate hip hop ,unavailable, mike da genius
