Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13060&classDate=1/3/2024&clsLoc=1,Contemporary at 280,Shane Larson,Gibney 280: Studio E,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=1/3/2024&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=58&classId=13046&classDate=1/3/2024&clsLoc=1,Winter Warming: Countertechnique with Anouk van Dijk at 280,Anouk van Dijk,Gibney 280: Studio C,2 hours
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13057&classDate=1/3/2024&clsLoc=1,Bartenieff Fundamentals at 280,Alexandra Beller,Gibney 280: Studio V,1 hour &30 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13107&classDate=1/3/2024&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio E,1 hour &45 minutes
Gibney,12:45 pm EST,none,Feldenkrais®: Movement Research at 280,Cancelled Today,none,1 hour &15 minutes
Gibney,2:00 pm EST,none,Alexander Technique: Movement Research at 280,Cancelled Today,none,1 hour &45 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13033&classDate=1/3/2024&clsLoc=1,Contemporary Floorwork with Dual Rivet at 280,Dual Rivet,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13062&classDate=1/3/2024&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13104&classDate=1/3/2024&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13063&classDate=1/3/2024&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
