Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Supernova | Aespa Part 3,Maylin Ramos,none
ILD NJ,19:30:00,How Sweet | Newjeans Part 3,Min Seon Kim,none
