Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17632&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Luis Villar,Luis Villar,Studio 1,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17637&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio A,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17758&classDate=8/24/2023&clsLoc=1,IN-PERSON: Int TAP with Danny Gardner,Avital Asuleen (1),Studio B,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17759&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg JUMPS AND TURNS with Shelly Hutchinson,Danie Kurzman (2),Studio 1,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17304&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg TAP with Jill Kenney,Emiko Nakagawa (4),Studio B,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17650&classDate=8/24/2023&clsLoc=1,IN-PERSON: Int THEATER with Andrew Wilson,Andrew Wilson,Studio 3,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17014&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Gwen Potter,Gwen Potter,Studio B,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17536&classDate=8/24/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio A,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17600&classDate=8/24/2023&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,June Chin (6),Studio 1,1 hour & 30 minutes
Broadway Dance Center,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17517&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Blue,Blue,Studio A,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17764&classDate=8/24/2023&clsLoc=1,IN-PERSON: All Levels PILATES FUSION with Jacquie Maitner,Sam Paulik (8),Studio 2,1 hour & 15 minutes
Broadway Dance Center,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17762&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg TAP with Katharine Pettit,Katharine Pettit,Studio B,1 hour & 30 minutes
Broadway Dance Center,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17695&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Nijawwon Matthews,Elodie Dufroux (9),Studio A,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=16646&classDate=8/24/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Luis Villar (11),Studio 1,1 hour & 30 minutes
Broadway Dance Center,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17576&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Tony Mayes,Katharine Pettit (12),Studio B,1 hour & 30 minutes
Broadway Dance Center,5:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17652&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg HOUSE with Huu Rock,Huu Rock,Studio 3,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17709&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg THEATER with Ian Klein,Ian Klein,Studio 4,1 hour & 30 minutes
Broadway Dance Center,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17838&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg BROADWAY TAP with Derek Roland,Derek Roland,Studio B,1 hour & 30 minutes
Broadway Dance Center,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17701&classDate=8/24/2023&clsLoc=1,IN-PERSON: Beg HEELS with Hector Lopez,Hector Lopez,Studio 5,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17723&classDate=8/24/2023&clsLoc=1,IN-PERSON: Adv Beg LATIN JAZZ with Alycia Perrin,Alycia Perrin,Studio 4,1 hour & 30 minutes
