0,Start time,Sign up,Classes,Teacher,Studio,Duration
1,   9:30 am  EDT,/ASP/res_a.asp?tg=22&classId=17125&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic CONTEMPORARY with Blue,Blue,Studio A, 1 hour & 30 minutes
2,   9:45 am  EDT,/ASP/res_a.asp?tg=22&classId=16845&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic THEATER with Morgan Rose,Morgan Rose,Studio 3, 1 hour & 30 minutes
3,   11:15 am  EDT,/ASP/res_a.asp?tg=22&classId=16852&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int THEATER with Chryssie Whitehead,Chryssie Whitehead,Studio A, 1 hour & 30 minutes
4,   11:15 am  EDT,/ASP/res_a.asp?tg=48&classId=17224&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Int THEATER with Chryssie Whitehead,Chryssie Whitehead,LS ST-A, 1 hour & 30 minutes
5,   11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=17303&classDate=3/13/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Jill Kenney,Jill Kenney,Studio B, 1 hour & 30 minutes
6,   11:30 am  EDT,/ASP/res_a.asp?tg=22&classId=17136&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg HIP-HOP with AntBoogie,AntBoogie,Studio 5, 1 hour & 30 minutes
7,   1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16861&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic TAP with Brent McBeth,Brent McBeth,Studio B, 1 hour & 30 minutes
8,   1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17127&classDate=3/13/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Eric Campros,Eric Campros,Studio A, 1 hour & 30 minutes
9,   1:00 pm  EDT,/ASP/res_a.asp?tg=48&classId=16855&classDate=3/13/2023&clsLoc=1,LIVESTREAM: Beg JAZZ with Sheila Barker,Sheila Barker,LS ST-1, 1 hour & 30 minutes
10,   1:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=16856&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic HIP-HOP with Geheny Rivera,Geheny Rivera,Studio 3, 1 hour & 30 minutes
11,   2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=16864&classDate=3/13/2023&clsLoc=1,IN-PERSON: Basic BALLET with Deanna Doyle,Cara Leggio (3),Studio 1, 1 hour & 30 minutes
12,   2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=16867&classDate=3/13/2023&clsLoc=1,IN-PERSON: Int Adv JAZZ with Debbie Roshe,Debbie Roshe,Studio A, 1 hour & 30 minutes
