Studio,Time,Classes,Instructor,Sign up,Date,Style
BDC,09:00:00,Beg Ballet,Cara Leggio (1),none,2023-11-22,Ballet
BDC,09:00:00,Itp Closed Class,ITP Master Class,none,2023-11-22,Additional Disciplines
BDC,09:00:00,Beg Lyrical,Emily Bufferd,none,2023-11-22,Contemporary/Modern
Ballet Arts,09:30:00,Rise & Ballet!,Joan Liu,none,2023-11-22,Ballet
BDC,10:30:00,Adv Beg Hip-Hop,Paolo Slice Penala,none,2023-11-22,Street/Choreography
BDC,10:30:00,Basic Theater,Morgan Rose,none,2023-11-22,Theater
BDC,10:30:00,Int Ballet,Deanna Doyle,none,2023-11-22,Ballet
BDC,10:30:00,Adv Beg Tap,Sheila Pomroy (2),none,2023-11-22,Tap
Ballet Arts,11:00:00,Int Ballet,Kenny Larson,none,2023-11-22,Ballet
BDC,12:00:00,Adv Beg Ballet,Natalya Stavro,none,2023-11-22,Ballet
BDC,12:00:00,Adv Beg Theater,Canceled Today,none,2023-11-22,Theater
BDC,12:00:00,Beg Jazz Funk,Chio,none,2023-11-22,Street/Choreography
BDC,12:00:00,Adv Beg Contemp Lyrical,Tracie Stanfield,none,2023-11-22,Contemporary/Modern
BDC,12:00:00,Beg Theater Tap,Doug Shankman,none,2023-11-22,Tap
Ballet Arts,13:00:00,Int Ballet,Simon Kazantsev,none,2023-11-22,Ballet
BDC,13:30:00,Beg Jumps And Turns,Eric Campros,none,2023-11-22,Additional Disciplines
BDC,13:30:00,Int Contemp Fusion,Alex Mitchell (3),none,2023-11-22,Contemporary/Modern
BDC,13:30:00,Basic Tap,Avital Asuleen,none,2023-11-22,Tap
BDC,13:30:00,Basic Hip-Hop,Geheny Rivera,none,2023-11-22,Street/Choreography
BDC,13:30:00,Int Theater,Tanner Lane,none,2023-11-22,Theater
Ballet Arts,14:30:00,Adv Beg Ballet,Kate Loh,none,2023-11-22,Ballet
BDC,15:00:00,Adv Beg Theater,Jason Wise,none,2023-11-22,Theater
BDC,15:00:00,Int Street Jazz,Bo Park,none,2023-11-22,Street/Choreography
BDC,15:00:00,Adv Beg Jazz,Sheila Barker,none,2023-11-22,Jazz
BDC,15:00:00,Basic Ballet,Deanna Doyle,none,2023-11-22,Ballet
BDC,15:00:00,Adv Beg Tap,Brent McBeth,none,2023-11-22,Tap
Ballet Arts,16:00:00,Int Ballet,Noriko Hara,none,2023-11-22,Ballet
BDC,16:30:00,Beg Ballet,Dorit Koppel,none,2023-11-22,Ballet
BDC,16:30:00,Int Tap,Ray Hesselink,none,2023-11-22,Tap
BDC,16:30:00,Int Adv Theater Jazz,Marc Kimelman,none,2023-11-22,Theater
BDC,16:30:00,Adv Beg Hip-Hop,AntBoogie,none,2023-11-22,Street/Choreography
BDC,16:30:00,All Levels Restorative Meditation,Renata Bonar (4),none,2023-11-22,Additional Disciplines
Ballet Arts,17:30:00,Double Barre Ballet Class,Richard Marsden,none,2023-11-22,Ballet
BDC,18:00:00,Adv Beg Comm Jazz,Debbie Wilson,none,2023-11-22,Jazz
BDC,18:00:00,Beg Contemp Jazz,Mike Esperanza (5),none,2023-11-22,Contemporary/Modern
BDC,18:00:00,Int Adv Theater,Canceled Today,none,2023-11-22,Theater
BDC,18:00:00,Beg Hip-Hop Found,Ms Vee,none,2023-11-22,Street/Choreography
BDC,18:00:00,Adv Beg Tap,Canceled Today,none,2023-11-22,Tap
Ailey,18:00:00,Beg Ballet,Benjamin Briones,none,2023-11-22,Ballet
PJM,18:30:00,Beg House,Huu Rock,none,2023-11-22,Street/Choreography
Ailey,18:30:00,Zumba Fitness,Mike Gomez,none,2023-11-22,Additional Disciplines
Ailey,18:30:00,Beg Horton,Amos Machanic,none,2023-11-22,Contemporary/Modern
Ailey,18:30:00,Open Hip-Hop,Antonio Jefferson,none,2023-11-22,Street/Choreography
Modega,19:00:00,Battle Class,Castro,https://sutrapro.com/modega/checkout/vl5K1FZrf2rDFbz6me0n,2023-11-22,Street/Choreography
Ailey,19:00:00,Beg Broadway Dance,Cancelled Today,none,2023-11-22,Theater
Ailey,19:00:00,Beg Contemp,Shaina McGregor (1),none,2023-11-22,Contemporary/Modern
Ballet Arts,19:00:00,Adv Beg Ballet,Kenny Larson,none,2023-11-22,Ballet
Ailey,19:00:00,Beg Heels,Marie Rose Baramo,none,2023-11-22,Street/Choreography
Modega,19:00:00,Int./Adv. Choreo,Iman Brooks & Karen Vanessa,https://sutrapro.com/modega/checkout/ROnSnTT8yp9SAGfvcuyM,2023-11-22,Street/Choreography
BDC,19:30:00,Basic Hip-Hop,Chris Palacio (8),none,2023-11-22,Street/Choreography
BDC,19:30:00,Adv Beg Street Jazz/Hip-Hop,Elodie Dufroux (6),none,2023-11-22,Street/Choreography
BDC,19:30:00,Beg Tap,Yuka Kameda,none,2023-11-22,Tap
BDC,19:30:00,Basic Afro'Dance,Shari Piontkowskie (7),none,2023-11-22,World
Ailey,19:30:00,Sabar,Cancelled Today,none,2023-11-22,World
Ailey,19:30:00,Open Capoeira,Mestre Alegria,none,2023-11-22,World
BDC,19:30:00,Int Adv Contemp Jazz,Lorena Cobos (9),none,2023-11-22,Contemporary/Modern
PJM,20:00:00,Adv Beg Jazz Funk,Peter Chow,none,2023-11-22,Street/Choreography
