Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm  EDT,none,IN-STUDIO Barre Fusion,Cancelled Today,none,1 hour
Ailey Studios,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825205&classDate=10/30/2023&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 5C,1 hour
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824681&classDate=10/30/2023&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824648&classDate=10/30/2023&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio LLB,1 hour & 30 minutes
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824663&classDate=10/30/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Lisa Johnson-Willingham (2),Studio 1A,1 hour & 30 minutes
Ailey Studios,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824654&classDate=10/30/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Mikhail Ilyin (1),Studio 1C,1 hour & 30 minutes
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825200&classDate=10/30/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5B,1 hour & 30 minutes
Ailey Studios,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824701&classDate=10/30/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824651&classDate=10/30/2023&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5C,1 hour
Ailey Studios,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825215&classDate=10/30/2023&clsLoc=1,IN-STUDIO New Way Vogue,Jason Rodriguez,Studio 5D,1 hour & 30 minutes
